Grapheme	IPA	Note
č	tʃ	
p	p	
m	m	
t	t	
s	s	
n	n	
r	r	
l	l	
w	w	
a	a	
š	ʃ	
yk	i k	
y	j	
k	k	
j	x	
u	u	
i	i	
q	q	
-	+	
