Grapheme	IPA	Note
ch	tʃ	
uq	o q	
np	m p	
p	p	
m	m	
w	w	
tr	ʈ	
t	t	
ñ	ɲ	
n	n	
ll	ʎ	
l	l	
sh	ʃ	
s	s	
rr	r	
r	ɾ	
y	j	
k	k	
h	h	
q	q	
-	+	
aː	aː	
uː	uː	
iː	iː	
a	a	
u	u	
i	i	
ː	ː	
