Grapheme	IPA	Note
u-yki	u + j k i	
yki	i k i	
ll	ʎ	
y	j	
p	p	
t	t	
ch	tʃ	
k	k	
q	χ	
m	m	
w	w	
sh	ʃ	
s	s	
n	n	
l	l	
r	ɾ	
h	h	
ñ	ɲ	
a	a	
i	i	
u	u	
-	+	
