Grapheme	IPA	Note
ch	tʃ	
p	p	
m	m	
w	w	
t	t	
ñ	ɲ	
n	n	
ll	ʎ	
l	l	
sh	ʃ	
s	s	
r	r	
y	j	
j	x	
ts	ts	
qu	k	
k	k	
h	h	
a	a	
u	u	
i	i	
^r	ɾ	
g	g	
d	d	
x	x	
-	+	
