Grapheme	IPA	Note
c	tʃ	
ts	ts	
p	p	
t	t	
k	k	
b	b	
d	d	
g	g	
r	r	
ph	pʰ	
th	tʰ	
ch	tʃʰ	
kh	kʰ	
s	s	
š	ʃ	
z	z	
ž	ʒ	
ñ	ɲ	
n	n	
ll	ʎ	
y	j	
j	x	
a	a	
i	i	
u	u	
m	m	
w	w	
-	+	
