Grapheme	IPA	Note
ch	tʃ	
p	p	
m	m	
w	w	
t	t	
ñ	ɲ	
n	n	
ll	ʎ	
l	l	
s	s	
r	r	
y	j	
q	q	
k	k	
h	h	
a	a	
u	u	
i	i	
o	o	
-	+	
