Grapheme	IPA	Note
p	p	
t	t	
k	k	
q	q	
h	h	
ĉ	tʂ 	
ch	tʃ	
m	m	
n	n	
ñ	ɲ 	
s	s	
sh	ʃ	
l	l	
ll	ʎ	
r	ɾ	
w	w	
y	i	
i	i	
i:	iː	
a	a	
a:	aː	
u	u	
u:	uː	
-	+	
