Grapheme	IPA	Note
kaː	k aː/a + ø/a	
tantaː	t a n t aː/a + ø/a	
ch	tʃ	
p	p	
b	b	
f	f	
m	m	
n	n	
w	w	
t	t	
d	d	
sh	ʃ	
s	s	
ll	l	
l	l	
r	ɾ	
k	k	
x	χ	
g	g	
q	q	
-yk	+ i k	
^yk	i k	
iy	i	
y	j	
a:	aː	
aː	aː	
u	u	
i	i	
a	a	
-	+	
h	x	
