Grapheme	IPA	Note
p	p	
t	t	
k	k	
q	q	
x	x	
ĉ	tʂ 	
č	tʃ	
m	m	
n	n	
N	n	
ñ	ɲ 	
s	s	
š	ç	
l	l	
Ĭ	ʎ	
g	g	
w	w	
y	i	
i	i	
a	a	
u	u	
o	o	
r	ɾ	
ch	tʃ	
sh 	ç 	
h	h	
U	u	
nq	g	
-	+	
