Grapheme	IPA	Note
č	tʃ	
p	p	
m	m	
w	w	
t	t	
ñ	ɲ	
n	n	
ll	ʎ	
l	l	
š	ʃ	
s	s	
r	r	
^r	ʐ	
rr	ʐ	
rn	ʐ	
rt	ʐ	
rs	ʐ	
y	j	
q	q	
k	k	
h	h	
ʐ	ʐ	
a	a	
u	u	
i	i	
o	o	
e	e	
aː	aː	
ka:/a	k a:/a + ø/a	
tantaː	t a n t aː/a + ø/a	
iː	iː	
ʎ	ʎ	
g	g	
