Grapheme	IPA	Note
qu	k	
gu	g	
hu	w	
ia	i j a	
iu	i j u	
a	a	
u	u	
i	i	
o	o	
b	b	
sc	s q	
sh	ʃ	
gs	χ	
ch	tʃ	
c	k	
k	k	
d	d	
g	g	
y	j	
j	h	
l	l	
ll	ʎ	
n	n	
ñ	ɲ	
m	m	
p	p	
q	q	
x	q	
r	ɾ	
s	s	
t	t	
zh	ʒ	
-	+	
^h	NULL	
