Grapheme	IPA	Note
kaː	k aː/a + ø/a	
tantaː	t a n t aː/a + ø/a	
aa	aː	
ee	eː	borrowed but contrastive
ii	iː	
oo	oː	borrowed but contrastive
uu	uː	
ch	tʃ	
ll	ʎ	
ts	ts	
sh	ʃ	
q	q	
r	ɾ	
k	k	
h	x	
w	w	
y	j	
s	s	
p	p	
t	t	
m	m	
n	n	
ñ	ɲ	
l	l	
a	a	
e	e	borrowed but contrastive
i	i	
o	o	borrowed but contrastive
u	u	
U	u	
I	i	
