Grapheme	IPA	Note
p	p	
t	t	
k	k	
q	q	
h	x	
ĉ	tʂ 	
č	tʃ	
ch	tʃ	
m	m	
n	n	
ñ	ɲ 	
s	s	
sh	ç 	
l	l	
ll	ʎ	
r	ɾ	
rr	r	
w	w	
y	i	
i	i	
ii	iː	
a	a	
a	aː	
u	u	
uu	uː	
tr	tʂ 	
-	+	
