Grapheme	IPA	Note
yki	i k i	
ll	ʎ	
y	j	
p	p	
t	t	
č	tʃ	
k	k	
q	χ	
m	m	
w	w	
s	s	
n	n	
l	l	
ř	r	
r	ɾ	
h	h	
ñ	ɲ	
á	a	
a	a	
i	i	
U	u	
u	u	
-	+	
