Grapheme	IPA	Note
aː	aː	
uː	uː	
iː	iː	
kaː	k aː/a + ø/a	
mikuː	m i k uː/u + ø/u	
a	a	
u	u	
i	i	
sh	ʃ	
ts	ts	
ch	tʃ	
tr	ʈʂ	
y	j	
k	k	
l	l	
q	q	
p	p	
ñ	ɲ	
w	w	
t	t	
h	h	
m	m	
n	n	
j	χ	
ŝ	ʂ	
s	s	
ll	ʎ	
r	ɾ	
-	+	
