Grapheme	IPA	Note
yki	i k i	
yka	i k a	
q	q	
ch	tʃ	
p	p	
m	m	
t	t	
s	s	
n	n	
r	r	
l	l	
w	w	
á	a	
a	a	
sh	ʃ	
h	h	
y	j	
k	k	
j	x	
u	u	
i	i	
-	+	
