Grapheme	IPA	Note
ch	tʃ	
ll	ʎ	
ts	ts	
sh	ʃ	
q	q	
k	k	
h	h	x a inicio de palabra
w	w	
y	j	
s	s	
p	p	
r	ɾ	
t	t	
m	m	
n	n	
ñ	ɲ	
l	l	
c	c	
a	a	
e	e	
i	i	
o	o	
u	u	
-	+	
