ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
Apuri-1_1object-1-1,Apuri-1_1object-1,wa,3,false,expert,shimelman2017,,,
Apuri-2_1ssubject2sobject-1-1,Apuri-2_1ssubject2sobject-1,yki,24,false,expert,shimelman2017,,,
Apuri-3_1plpossessor-1-1,Apuri-3_1plpossessor-1,nchik,58,false,expert,shimelman2017,,,
Apuri-4_1plverbal-1-1,Apuri-4_1plverbal-1,nchik,58,false,expert,shimelman2017,,,
Apuri-5_1plverbalconditional-1-1,Apuri-5_1plverbalconditional-1,chuwan,111,false,expert,shimelman2017,,,
Apuri-5_1plverbalconditional-1-2,Apuri-5_1plverbalconditional-1,chuwan,3,false,expert,shimelman2017,,,
Apuri-6_1plverbalfuture-1-1,Apuri-6_1plverbalfuture-1,shun,111,false,expert,shimelman2017,,,
Apuri-7_1spossessor-1-1,Apuri-7_1spossessor-1,tanta-y,155,false,expert,shimelman2017,,,
Apuri-7_1spossessor-1-2,Apuri-7_1spossessor-1,tanta-y,156,false,expert,shimelman2017,,,
Apuri-8_1ssubject2sobjectfuture-1-1,Apuri-8_1ssubject2sobjectfuture-1,shqayki,210,false,expert,shimelman2017,,,
Apuri-8_1ssubject2sobjectfuture-1-2,Apuri-8_1ssubject2sobjectfuture-1,shqayki,24,false,expert,shimelman2017,,,
Apuri-9_1sverbal-1-1,Apuri-9_1sverbal-1,ka-ni,234,false,expert,shimelman2017,,,
Apuri-9_1sverbal-1-2,Apuri-9_1sverbal-1,ka-ni,235,false,expert,shimelman2017,,,
Apuri-10_1sverbalfuture-1-1,Apuri-10_1sverbalfuture-1,shaq,280,false,expert,shimelman2017,,,
Apuri-11_2sconditional-1-1,Apuri-11_2sconditional-1,waq,325,false,expert,shimelman2017,,,
Apuri-12_2sobject-1-1,Apuri-12_2sobject-1,shu,337,false,expert,shimelman2017,,,
Apuri-13_2spossessor-1-1,Apuri-13_2spossessor-1,yki,348,false,expert,shimelman2017,,,
