ID,Name,Concepticon_ID,Concepticon_Gloss
1_1object,1 OBJECT,,
2_1ssubject2sobject,1S SUBJECT 2S OBJECT,,
3_1plpossessor,1PL POSSESSOR,,
4_1plverbal,1PL VERBAL,,
5_1plverbalconditional,1PL VERBAL CONDITIONAL,,
6_1plverbalfuture,1PL VERBAL FUTURE,,
7_1spossessor,1S POSSESSOR,,
8_1ssubject2sobjectfuture,1S SUBJECT 2S OBJECT FUTURE,,
9_1sverbal,1S VERBAL,,
10_1sverbalfuture,1S VERBAL FUTURE,,
11_2sconditional,2S CONDITIONAL,,
12_2sobject,2S OBJECT,,
13_2spossessor,2S POSSESSOR,,
14_2ssubject1sobject,2S SUBJECT 1S OBJECT,,
15_2sverbal,2S VERBAL,,
16_3sfuture,3S FUTURE,,
17_3spossessor,3S POSSESSOR,,
18_3ssubject1plobject,3S SUBJECT 1PL OBJECT,,
19_3ssubject1sobject,3S SUBJECT 1S OBJECT,,
20_3ssubject2sobject,3S SUBJECT 2S OBJECT,,
21_3sverbal,3S VERBAL,,
22_ablative,ABLATIVE,,
23_accompaniment,ACCOMPANIMENT,,
24_accusative,ACCUSATIVE,,
25_additive,ADDITIVE,,
26_agentive,AGENTIVE,,
27_benefactive,BENEFACTIVE,,
28_causative,CAUSATIVE,,
29_assertive,ASSERTIVE,,
30_cislocative,CISLOCATIVE,,
31_comparative,COMPARATIVE,,
32_conditional,CONDITIONAL,,
33_continuative,CONTINUATIVE,,
34_dativeilative,DATIVE/ILATIVE,,
35_desiderative,DESIDERATIVE,,
36_detransitivizer,DETRANSITIVIZER,,
37_diminutive,DIMINUTIVE,,
38_discontinuative,DISCONTINUATIVE,,
39_disjunctive,DISJUNCTIVE,,
40_distaldemonstrative,DISTAL DEMONSTRATIVE,,
41_distalremoveddemonstrative,DISTAL REMOVED DEMONSTRATIVE,,
42_progressive,PROGRESSIVE,,
43_emphatic,EMPHATIC,,
44_intensifier,INTENSIFIER,,
45_evidentialconjectural,EVIDENTIAL CONJECTURAL,,
46_evidentialdirect,EVIDENTIAL DIRECT,,
47_evidentialmodifier,EVIDENTIAL MODIFIER,,
48_evidentialmodifierstrongest,EVIDENTIAL MODIFIER (STRONGEST),,
49_evidentialreportative,EVIDENTIAL REPORTATIVE,,
50_exceptional,EXCEPTIONAL,,
51_exclusive,EXCLUSIVE,,
52_factive,FACTIVE,,
53_frequentive,FREQUENTIVE,,
