ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
Apuri-44_evidentialconjectural-2,,Apuri,44_evidentialconjectural,"tri,tr",tr,ʈ,,shimelman2017,,,^ tr $,Apuri
Apuri-45_evidentialdirect-1,,Apuri,45_evidentialdirect,"mi,m",mi,m i,,shimelman2017,,,^ m i $,Apuri
Apuri-45_evidentialdirect-2,,Apuri,45_evidentialdirect,"mi,m",m,m,,shimelman2017,,,^ m $,Apuri
Apuri-46_evidentialmodifer-1,,Apuri,46_evidentialmodifer,ik,ik,i k,,shimelman2017,,,^ i k $,Apuri
Apuri-47_evidentialmodiferstrongest-1,,Apuri,47_evidentialmodiferstrongest,iki,iki,i k i,,shimelman2017,,,^ i k i $,Apuri
Apuri-48_evidentialreportative-1,,Apuri,48_evidentialreportative,"shi,sh",shi,ʃ i,,shimelman2017,,,^ sh i $,Apuri
Apuri-48_evidentialreportative-2,,Apuri,48_evidentialreportative,"shi,sh",sh,ʃ,,shimelman2017,,,^ sh $,Apuri
Apuri-49_exceptional-1,,Apuri,49_exceptional,"yku,yka/ika/iku",yku,j k u,,shimelman2017,,,^ y k u $,Apuri
Apuri-49_exceptional-2,,Apuri,49_exceptional,"yku,yka/ika/iku",yka,j k a,,shimelman2017,,,^ y k a $,Apuri
Apuri-49_exceptional-3,,Apuri,49_exceptional,"yku,yka/ika/iku",ika,i k a,,shimelman2017,,,^ i k a $,Apuri
Apuri-49_exceptional-4,,Apuri,49_exceptional,"yku,yka/ika/iku",iku,i k u,,shimelman2017,,,^ i k u $,Apuri
Apuri-50_exclusive-1,,Apuri,50_exclusive,pura,pura,p u ɾ a,,shimelman2017,,,^ p u r a $,Apuri
Apuri-51_factive-1,,Apuri,51_factive,cha,cha,tʃ a,,shimelman2017,,,^ ch a $,Apuri
Apuri-52_frequentive-1,,Apuri,52_frequentive,katra,katra,k a ʈ a,,shimelman2017,,,^ k a tr a $,Apuri
Apuri-53_genitive-1,,Apuri,53_genitive,"pa,pi",pa,p a,,shimelman2017,,,^ p a $,Apuri
Apuri-53_genitive-2,,Apuri,53_genitive,"pa,pi",pi,p i,,shimelman2017,,,^ p i $,Apuri
Apuri-54_imperative-1,,Apuri,54_imperative,y,y,j,,shimelman2017,,,^ y $,Apuri
Apuri-55_inceptive-1,,Apuri,55_inceptive,ri,ri,ɾ i,,shimelman2017,,,^ r i $,Apuri
Apuri-56_inchoative-1,,Apuri,56_inchoative,ya,ya,j a,,shimelman2017,,,^ y a $,Apuri
Apuri-57_inclusive-1,,Apuri,57_inclusive,ntin,ntin,n t i n,,shimelman2017,,,^ n t i n $,Apuri
Apuri-58_infinitive-1,,Apuri,58_infinitive,y,y,j,,shimelman2017,,,^ y $,Apuri
Apuri-59_injunctive-1,,Apuri,59_injunctive,chun,chun,tʃ u n,,shimelman2017,,,^ ch u n $,Apuri
Apuri-60_instrumentalcomitative-1,,Apuri,60_instrumentalcomitative,wan,wan,w a n,,shimelman2017,,,^ w a n $,Apuri
Apuri-61_intensifier-1,,Apuri,61_intensifier,ya,ya,j a,,shimelman2017,,,^ y a $,Apuri
Apuri-62_irreversiblechange-1,,Apuri,62_irreversiblechange,tamu,tamu,t a m u,,shimelman2017,,,^ t a m u $,Apuri
Apuri-63_jointaction-1,,Apuri,63_jointaction,"paku,paːku",paku,p a k u,,shimelman2017,,,^ p a k u $,Apuri
Apuri-63_jointaction-2,,Apuri,63_jointaction,"paku,paːku",paːku,p aː k u,,shimelman2017,,,^ p aː k u $,Apuri
Apuri-64_limitative-1,,Apuri,64_limitative,kama,kama,k a m a,,shimelman2017,,,^ k a m a $,Apuri
Apuri-65_locative-1,,Apuri,65_locative,"pa,pi",pa,p a,,shimelman2017,,,^ p a $,Apuri
Apuri-65_locative-2,,Apuri,65_locative,"pa,pi",pi,p i,,shimelman2017,,,^ p i $,Apuri
Apuri-66_middlevoice-1,,Apuri,66_middlevoice,ku,ku,k u,U,shimelman2017,,,^ k u $,Apuri
Apuri-67_multiplepossessive-1,,Apuri,67_multiplepossessive,sapa,sapa,s a p a,,shimelman2017,,,^ s a p a $,Apuri
Apuri-68_mutualbenefit-1,,Apuri,68_mutualbenefit,puku,puku,p u k u,,shimelman2017,,,^ p u k u $,Apuri
