DOCULECT	FORM	SOURCE
Ayacucho	ka-ni	parker1969
Ayacucho	saq	parker1969
Ayacucho	wankiku	parker1969
Ayacucho	wankičik	parker1969
Ayacucho	waq	parker1969
Ayacucho	yki	parker1969
Ayacucho	wanki	parker1969
Ayacucho	nki	parker1969
Ayacucho	nqa	parker1969
Ayacucho	n	parker1969
Ayacucho	wančik	parker1969
Ayacucho	wanku	parker1969
Ayacucho	wasun, wasunčik	parker1969
Ayacucho	wan	parker1969
Ayacucho	sunki	parker1969
Ayacucho	sunkičik	parker1969
Ayacucho	n	parker1969
Ayacucho	manta	parker1969
Ayacucho	si	parker1969
Ayacucho	ta	parker1969
Ayacucho	pas	parker1969
Ayacucho	q	parker1969
Ayacucho	iki	parker1969
Ayacucho	su, yku,yka	parker1969
Ayacucho	paq	parker1969
Ayacucho	či	parker1969
Ayacucho	puni	parker1969
Ayacucho	mu	parker1969
Ayacucho	hina	parker1969
Ayacucho	man	parker1969
Ayacucho	raq	parker1969
Ayacucho	raya	parker1969
Ayacucho	man	parker1969
Ayacucho	kUča	parker1969
Ayacucho	ča	parker1969
Ayacucho	nka	parker1969
Ayacucho	čka	parker1969
Ayacucho	á, ya	parker1969
Ayacucho	č, ča	parker1969
Ayacucho	mi	parker1969
Ayacucho	s, si	parker1969
Ayacucho	pura	parker1969
Ayacucho	ča	parker1969
Ayacucho	pa	parker1969
Ayacucho	y	parker1969
Ayacucho	ri	parker1969
Ayacucho	ya	parker1969
Ayacucho	ntin	parker1969
Ayacucho	y	parker1969
Ayacucho	wan	parker1969
Ayacucho	ya	parker1969
Ayacucho	kama	parker1969
Ayacucho	pi	parker1969
Ayacucho	ku	parker1969
Ayacucho	sapa	parker1969
Ayacucho	ču	parker1969
Ayacucho	na	parker1969
Ayacucho	rqa	parker1969
Ayacucho	řal	parker1969
Ayacucho	sqa	parker1969
Ayacucho	sqa	parker1969
Ayacucho	kuna	parker1969
Ayacucho	yuq	parker1969
Ayacucho	rayku	parker1969
Ayacucho	naku	parker1969
Ayacucho	pa	parker1969
Ayacucho	sqa	parker1969
Ayacucho	lla	parker1969
Ayacucho	taq	parker1969
Ayacucho	ti	parker1969
Ayacucho	sti	parker1969
Ayacucho	spa	parker1969
Ayacucho	pti	parker1969
Ayacucho	qa	parker1969
Ayacucho	ra	parker1969
Ayacucho	rqu	parker1969
Ayacucho	pu	parker1969
Ayacucho	ña	parker1969
Azuay	yqui	cordero1955
Azuay	nchi	cordero1955
Azuay	sunchi	cordero1955
Azuay	yquichita	cordero1955
Azuay	scaqui	cordero1955
Azuay	ka-ni	cordero1955
Azuay	sa	cordero1955
Azuay	ncanguichi	cordero1955
Azuay	ngui	cordero1955
Azuay	ncangui	cordero1955
Azuay	ncuna	cordero1955
Azuay	ngacuna	cordero1955
Azuay	nga	cordero1955
